SYSTEM Asteroid Field	;{0} Asteroid Field
Settings Explanation GraphicsTextureStreaming        ;Enables or disables texture streaming. Texture streaming allows the game to load textures on demand, rather than all at once. This can reduce memory usage and improve performance, but may cause a slight delay when textures are first needed.
GraphicsVSyncEnabled    ;VSync
Settings Explanation GraphicsVSyncEnabled ;Enables or disables VSync. VSync synchronizes the game's framerate with the monitor's refresh rate, which can reduce screen tearing. However, it can also cause input lag and stuttering.

NebulaStormDisplayEffectsEnabled		;Nebula Storm Display Effects
Settings Explanation NebulaStormDisplayEffectsEnabled		;Enables or disables scene-wide lightning flashes for nebula storms of all kinds.

GameSettingsChangeNotice Title       ;Settings Changed
GameSettingsChangeNotice Description ;Some settings will not take effect until the next time you restart the game, such as Rendering Mode and Format.
GraphicsFpsLimit        ;Maximum FPS
Settings Explanation GraphicsFpsLimit		;Sets the upper limit for rendering rate, allowing you to limit GPU load
Limited to GameSpeed    ;Limited to

TaskingTargetLoadAdjust ;System Load Target
Settings Explanation TaskingTargetLoadAdjust ;The target system load for the tasking system. This is the percentage of the system's total CPU power that the tasking system will try to use. Lower values will reduce CPU usage, freeing up CPU power for the rendering system and other applications.

StarAlphaScale ;Star Field Opacity
Settings Explanation StarAlphaScale ;The opacity of the star field. Lower values will make the star field more transparent, making the stars less visible.

Research Location Discovery Progress Title		;A Piece of the Puzzle
Research Location Discovery Progress Explanation LOCATION PROJECT		;Discovery of research bonuses at {0} has advanced our progress in {1}
Research Location Discovery Breakthrough Explanation LOCATION PROJECT		;Discovery of research bonuses at {0} has helped us complete research in {1}

MusicTrackSwitchType		;Change Music Tracks
Settings Explanation MusicTrackSwitchType		;Control when the music track changes: either when the scene changes or when the current track ends. Note that the current track will always change when an exploration discovery or story event occurs.
MusicTrackSwitchType WhenSceneChanges		;When Scene Changes
MusicTrackSwitchType WhenTrackEnds		;When Track Ends

LocationEffect Description Permeability		;Nebula Jump Slowdown: {0}
LocationEffect Description DirectDamage		;Maximum Standard Damage (bypasses Shields and Armor): {0}
LocationEffect Description StandardDamage		;Maximum Standard Damage: {0}
LocationEffect Description IonDamage		;Maximum Ion Damage: {0}
LocationEffect Description EnergyDrain		;Energy Drain per second: {0}
LocationEffect Description JumpBlocking		;Jump Blocking Power: {0}
LocationEffect Description PullTowardsCenter		;Gravitational Pull: {0}
LocationEffect Description SensorsDisabled		;Sensor Disablement: {0}
LocationEffect Description ShieldDrain		;Shield Drain per second: {0}
LocationEffect Description SpeedModifier		;Speed Modifier: {0}
LocationEffect Description VisibilityReduction		;Visibility Reduction: {0}

LocationEffectType Galactic Storm		;Galactic Storm
LocationEffectType Ion Storm		;Ion Storm
LocationEffectType Gravitic Storm		;Gravitic Storm
LocationEffectType Gravitic Damage		;Gravitic Damage
LocationEffectType Radiation Zone		;Radiation Zone
LocationEffectType Black Hole		;Black Hole

Nebula Cloud		;Nebula Cloud
Ancient Knowledge		;Ancient Knowledge
Waiting for Fuel Tankers		;Waiting for Fuel Tankers

User Interface Effects Volume		;User Interface Effects Volume
Nebula Storm Effects Volume		;Nebula Storm Effects Volume
Settings Explanation UserInterfaceSoundEffectsVolume		;Control the volume for button clicks, message notifications and other user interface sound effects.
Settings Explanation NebulaStormSoundEffectsVolume		;Control the volume for nebula storm sound effects.

Government Colony Growth Funding Factor Explanation No Benefit		;{0} government completely eliminates the effectiveness of colony growth funding, thus making it pointless to spend money here
Government Colony Growth Funding Factor Explanation Reduced Benefit		;{0} government reduces the effectiveness of colony growth funding to {1} of normal, thus making it less beneficial to spend money here

Government Colony Growth Funding Factor		;Colony Growth Funding Effectiveness
Government Colony Growth Funding Factor Explanation		;The effectiveness of Colony Growth Funding can be modified: it can be increased, reduced or even eliminated.\n\nLower Colony Growth Funding Effectiveness can greatly slow population growth in your empire.\n\nWhen this modifier is zero then you should not spend any money on Colony Growth because it has no benefit.

Expend		;Expend
Spend Scientist Crash Title		;Spend Scientist For Crash Research
Spend Scientist Crash Explanation		;Due to our chosen government ({1}), our recent crash breakthrough in {0} now allows us to use one of our scientists to immediately complete research in that project.\n\nUsing this scientist will [WARN]permanently remove them[/WARN], but will [RESEARCH]immediately complete the crash research project in {0}[/RESEARCH].
Spend Scientist Crash Description		;Crash research breakthroughs allow your faction to use one of your scientists to immediately complete research in the project.\n\nUsing the scientist will [WARN]permanently remove them[/WARN], but will [RESEARCH]immediately complete the crash research project[/RESEARCH].
Spend Scientist Crash Description Govt		;Due to your chosen government ({0}), crash research breakthroughs allow your faction to use one of your scientists to immediately complete research in that project.\n\nUsing the scientist will [WARN]permanently remove them[/WARN], but will [RESEARCH]immediately complete the crash research project[/RESEARCH].
Spend Scientist Failure Title		;Spend Scientist For Critical Research Failure
Spend Scientist Failure Explanation		;Due to our chosen government ({1}), our recent critical research failure in {0} now allows us to use one of our scientists to instead initiate crash research in that project.\n\nUsing this scientist will [WARN]permanently remove them[/WARN], but will [RESEARCH]initiate crash research in {0}, and also ensure at least 50% research progress in {0}[/RESEARCH].
Spend Scientist Failure Description		;Critical research failures allow your faction to use one of your scientists to instead initiate crash research in the failed project.\n\nUsing the scientist will [WARN]permanently remove them[/WARN], but will [RESEARCH]initiate crash research in the failed project, and also ensure at least 50% research progress in the failed project[/RESEARCH].
Spend Scientist Failure Description Govt		;Due to your chosen government ({0}), critical research failures allow your faction to use one of your scientists to instead initiate crash research in the failed project.\n\nUsing the scientist will [WARN]permanently remove them[/WARN], but will [RESEARCH]initiate crash research in the failed project, and also ensure at least 50% research progress in the failed project[/RESEARCH].
Can Spend Scientist		;Can Spend Scientist
Expend Scientist		;Expend Scientist
Expend Scientist Warning NAME		;Are you sure that you want to expend your scientist {0}?
ResearchMaximumConcurrentProjects Race Limit		;Your dominant empire race ({0}) limits this to {1}

ColonyPopulationGrowthRateForRace		;Population Growth for {0}
ColonyEvent CharacterRivalry Title		;Rivalries
ColonyEvent CharacterRivalry Description		;A power struggle has occurred between two of our characters, {0} and {1}.\n\nTheir rivalry has spun out of control and we are now forced to choose between the two.\n\nWe must select a winner in this power struggle. The winner will gain an extra skill and positive trait. The loser will be dismissed.\n\nOur empire will also suffer a period of unhappiness as the loser's supporters adjust to the new situation.\n\nWhom do you choose to win this struggle?
